name,url,current_price,original_price,discount_pct,rating,review_count
Digital Display Thermos Cup Coffee Cup Mug,https://www.jumia.co.ke/generic-digital-display-thermos-cup-coffee-cup-mug-323021756.html,667,1001,33,4.4,4
"AILYONS B-1731 2-in-1 Blender with Grinder, 1.5L, White & Green, ABS Plastic, 3 Speeds, Safety Lock",https://www.jumia.co.ke/ailyons-b-1731-2-in-1-blender-with-grinder-1.5l-white-green-abs-plastic-3-speeds-safety-lock-27035910.html,1499,2599,42,3.7,3
Mosquito Net With Metallic Stand - Pink,https://www.jumia.co.ke/mosquito-net-with-metallic-stand-pink-generic-mpg220603.html,1199,2500,52,4.0,4
Ramtons RM/609-cordless Electric Kettle 1.7 Litres- Black & Red (1YR WRTY),https://www.jumia.co.ke/ramtons-rm609-cordless-electric-kettle-1.7-litres-black-red-1yr-wrty-177871914.html,1199,2125,44,4.1,4
Ramtons Steam Iron - Non Stick Sole Plate - RM/694 (1YR WRTY),https://www.jumia.co.ke/ramtons-steam-iron-non-stick-sole-plate-rm694-1yr-wrty-326563920.html,1550,2295,33,4.5,4
Nunix 5 Layer Shoe Rack Black (Smaller Design) SR5L,https://www.jumia.co.ke/nunix-5-layer-shoe-rack-black-smaller-design-sr5l-160082187.html,440,599,27,3.5,3
Lyons GK-022  Two Burner Glass Top & Infrared Double Burner (1YR WRTY),https://www.jumia.co.ke/lyons-gk-022-two-burner-glass-top-infrared-double-burner-1yr-wrty-309552668.html,1899,3399,44,3.9,3
Nunix Free Standing Cooker 50*55 4-Gas Oven Cooker (WLD-560-GO),https://www.jumia.co.ke/nunix-free-standing-cooker-5055-4-gas-oven-cooker-wld-560-go-325508531.html,12999,15132,14,3.9,3
Smartraha life RahaLife 18inch Stainless Steel Dish Rack-2 Tier,https://www.jumia.co.ke/smartraha-life-rahalife-18inch-stainless-steel-dish-rack-2-tier-326516961.html,999,2899,66,4.2,4
"AILYONS AILYONS 1.6L 350W 2-in-1 Blender & Grinder - Stainless Steel Blades, 4-Speed, Leak Resistant",https://www.jumia.co.ke/ailyons-ailyons-1.6l-350w-2-in-1-blender-grinder-stainless-steel-blades-4-speed-leak-resistant-318231380.html,1870,4500,58,4.1,4
"VON VAMS-20MGX - Manual Microwave Oven, Solo - 20L-Black(1YR WRTY)",https://www.jumia.co.ke/von-vams-20mgx-manual-microwave-oven-solo-20l-black1yr-wrty-284853024.html,6799,11995,43,4.4,4
CYFAZA 5-Tiers Shoe Rack Storage Organizer 18 Pairs Large Capacity,https://www.jumia.co.ke/cyfaza-5-tiers-shoe-rack-storage-organizer-18-pairs-large-capacity-306426729.html,1099,2005,45,3.8,3
Nunix Aluminium Pressure Cooker - Explosion Proof - 7  Litres - Silver,https://www.jumia.co.ke/nunix-aluminium-pressure-cooker-explosion-proof-7-litres-silver-169297390.html,2260,2500,10,4.1,4
Rashnik Rn-999 2 In 1 Blender & Grinder –1.5l – 350w - Red(6 Months WRTY),https://www.jumia.co.ke/rashnik-rn-999-2-in-1-blender-grinder-1.5l-350w-red6-months-wrty-327846908.html,1440,1716,16,3.8,3
500ML 304 Stainless Steel Vacuum Insulated Bottle Gift Set,https://www.jumia.co.ke/generic-500ml-304-stainless-steel-vacuum-insulated-bottle-gift-set-230713308.html,663,2010,67,3.7,3
Mythco 25-in-1 Small Precision Screwdriver Set Magnetic Mini Repair Tool Kit,https://www.jumia.co.ke/mythco-25-in-1-small-precision-screwdriver-set-magnetic-mini-repair-tool-kit-190325279.html,269,745,64,4.4,4
Smartraha life RahaLife 130CM 3 Column Portable Fabric Cloth Wardrobe Wardrobe - Purple 8 Shelves & Hanging Section,https://www.jumia.co.ke/smartraha-life-rahalife-130cm-3-column-portable-fabric-cloth-wardrobe-wardrobe-purple-8-shelves-hanging-section-325847619.html,1699,4500,62,3.6,3
Em ElectroMate Sandwich Maker Toaster 2-Slice Non-Stick 750W Black SM01 (1YR WRTY),https://www.jumia.co.ke/em-electromate-sandwich-maker-toaster-2-slice-non-stick-750w-black-sm01-1yr-wrty-279219008.html,1429,2699,47,4.1,4
Sundabest 2ltr Stainless Steel Thermal Vacuum Flask (20177),https://www.jumia.co.ke/sundabest-2ltr-stainless-steel-thermal-vacuum-flask-20177-249504962.html,650,999,35,3.8,3
CREAM Mosquito Net With Portable Metallic Stand,https://www.jumia.co.ke/generic-cream-mosquito-net-with-portable-metallic-stand-251834362.html,1168,1370,15,3.9,3
Rashnik 2 Burner Gas Table Top Cooker (Rn-1529B) - Black,https://www.jumia.co.ke/rashnik-2-burner-gas-table-top-cooker-rn-1529b-black-191889140.html,1460,1870,22,3.8,3
